id,year,day,month,location,comments,date,OSGridRef,latitude,longitude,Nation
354,1127,16,Mar,Woodstock,,16-3-1127,SP4400016000,51.840878,-1.362755,England
355,1127,17,Mar,Woodstock,,17-3-1127,SP4400016000,51.840878,-1.362755,England
356,1127,18,Mar,Woodstock,,18-3-1127,SP4400016000,51.840878,-1.362755,England
357,1127,19,Mar,Woodstock,,19-3-1127,SP4400016000,51.840878,-1.362755,England
358,1127,20,Mar,Woodstock,,20-3-1127,SP4400016000,51.840878,-1.362755,England
359,1127,21,Mar,Woodstock,,21-3-1127,SP4400016000,51.840878,-1.362755,England
360,1127,22,Mar,Woodstock,,22-3-1127,SP4400016000,51.840878,-1.362755,England
361,1127,23,Mar,Woodstock,,23-3-1127,SP4400016000,51.840878,-1.362755,England
362,1127,24,Mar,Woodstock,,24-3-1127,SP4400016000,51.840878,-1.362755,England
363,1127,25,Mar,Woodstock,,25-3-1127,SP4400016000,51.840878,-1.362755,England
364,1127,26,Mar,Woodstock,,26-3-1127,SP4400016000,51.840878,-1.362755,England
365,1127,27,Mar,Woodstock,,27-3-1127,SP4400016000,51.840878,-1.362755,England
366,1127,28,Mar,Woodstock,,28-3-1127,SP4400016000,51.840878,-1.362755,England
367,1127,29,Mar,Woodstock,,29-3-1127,SP4400016000,51.840878,-1.362755,England
368,1127,30,Mar,Woodstock,,30-3-1127,SP4400016000,51.840878,-1.362755,England
369,1127,1,Apr,Woodstock,,1-4-1127,SP4400016000,51.840878,-1.362755,England
370,1127,2,Apr,Woodstock,,2-4-1127,SP4400016000,51.840878,-1.362755,England
371,1127,3,Apr,Woodstock,,3-4-1127,SP4400016000,51.840878,-1.362755,England
372,1127,4,Apr,Woodstock,,4-4-1127,SP4400016000,51.840878,-1.362755,England
373,1127,5,Apr,Woodstock,,5-4-1127,SP4400016000,51.840878,-1.362755,England
374,1127,6,Apr,Woodstock,,6-4-1127,SP4400016000,51.840878,-1.362755,England
375,1127,7,Apr,Woodstock,,7-4-1127,SP4400016000,51.840878,-1.362755,England
376,1127,8,Apr,Woodstock,,8-4-1127,SP4400016000,51.840878,-1.362755,England
377,1127,9,Apr,Woodstock,,9-4-1127,SP4400016000,51.840878,-1.362755,England
378,1127,9,May,London,,9-5-1127,TQ3248081340,51.515457,-0.092140265,England
379,1127,10,May,London,,10-5-1127,TQ3248081340,51.515457,-0.092140265,England
380,1127,11,May,London,,11-5-1127,TQ3248081340,51.515457,-0.092140265,England
381,1127,13,May,Westminster,,13-5-1127,TQ3016079670,51.500988,-0.12617168,England
382,1127,14,May,Westminster,,14-5-1127,TQ3016079670,51.500988,-0.12617168,England
383,1127,15,May,Westminster,,15-5-1127,TQ3016079670,51.500988,-0.12617168,England
384,1127,16,May,Westminster,,16-5-1127,TQ3016079670,51.500988,-0.12617168,England
385,1127,22,May,Winchester,,22-5-1127,SU4779329466,51.062549,-1.3193687,England
386,1127,,Aug,Eling,,8-1127,SU5234774954,51.471136,-1.247745,England
387,1127,26,Aug,Portsmouth,(crossing to Normandy),26-8-1127,SU6441401094,50.805833,-1.087222,England
388,1128,,Nov,Rouen,,11-1128,,49.442778,1.088611,France
389,1129,2,June,Falaise,,2-6-1129,,48.897222,-0.1975,France
390,1129,15,July,Portsmouth,(return to England),15-7-1129,SU6441401094,50.805833,-1.087222,England
391,1129,,Oct,Winchester,,10-1129,SU4779329466,51.062549,-1.3193687,England
392,1129,25,Dec,Winchester,,25-12-1129,SU4779329466,51.062549,-1.3193687,England
393,1130,30,Mar,Woodstock,,30-3-1130,SP4400016000,51.840878,-1.362755,England
394,1130,4,May,Canterbury,,4-5-1130,TR1454057430,51.275608,1.0745524,England
395,1130,8,May,Rochester,,8-5-1130,TQ7414268559,51.389355,0.50145239,England
396,1130,18,May,Arundel,,18-5-1130,TQ0188707093,50.85439,-0.5539,England
398,1130,8,Sept,Bec,,8-9-1130,,49.2288,0.722,France
399,1130,11,Sept,Rouen,,11-9-1130,,49.442778,1.088611,France
400,1131,13,Jan,Chartres,,13-1-1131,,48.456,1.484,France
401,1131,5,Feb,Rouen,,5-2-1131,,49.442778,1.088611,France
402,1131,10,May,Rouen,,10-5-1131,,49.442778,1.088611,France
403,1131,,July-Aug,Arques,,1131,,49.8817,1.1269,France
404,1131,1,Aug,Dieppe,"(return to England), Appears as ""p 1 Aug""",1-8-1131,,49.92,1.08,France
405,1131,8,Sept,Northampton,,8-9-1131,SP7549060562,52.238083,-0.89592755,England
406,1131,25,Dec,Dunstable,,25-12-1131,TL0188821864,51.88603,-0.52102,England
407,1132,10,Apr,Woodstock,,10-4-1132,SP4400016000,51.840878,-1.362755,England
408,1132,29,Apr,London,,29-4-1132,TQ3248081340,51.515457,-0.092140265,England
409,1132,25,Dec,Windsor,,25-12-1132,SU9683776912,51.482886,-0.60683638,England
410,1133,8,Feb,London,,8-2-1133,TQ3248081340,51.515457,-0.092140265,England
411,1133,26,Mar,Oxford,,26-3-1133,SP5130006100,51.751253,-1.2582674,England
412,1133,30,Apr,Winchester,,30-4-1133,SU4779329466,51.062549,-1.3193687,England
413,1133,1,May,Winchester,,1-5-1133,SU4779329466,51.062549,-1.3193687,England
414,1133,2,May,Winchester,,2-5-1133,SU4779329466,51.062549,-1.3193687,England
415,1133,3,May,Winchester,,3-5-1133,SU4779329466,51.062549,-1.3193687,England
416,1133,,July,Fareham,,7-1133,SU5782205929,50.85,-1.18,England
417,1133,,July,Westbourne,,7-1133,SZ0729791046,50.719,-1.898,England
419,1134,,Sep,Verneuil,,9-1134,,48.7394,0.9286,France
420,1134,,Aug-Oct,S�es,,Aug-Oct-1134,,48.6053,0.1719,France
421,1134,,,Alen�on,,1134,,48.4306,0.0931,France
422,1134,,,Argentan,,1134,,48.75,-0.02,France
423,1135,25,Nov,Lyons-la-For�t,,25-11-1135,,49.4003,1.4769,France
424,1135,26,Nov,Lyons-la-For�t,,26-11-1135,,49.4003,1.4769,France
425,1135,27,Nov,Lyons-la-For�t,,27-11-1135,,49.4003,1.4769,France
426,1135,28,Nov,Lyons-la-For�t,,28-11-1135,,49.4003,1.4769,France
427,1135,29,Nov,Lyons-la-For�t,,29-11-1135,,49.4003,1.4769,France
428,1135,30,Nov,Lyons-la-For�t,,30-11-1135,,49.4003,1.4769,France
429,1135,1,Dec,Lyons-la-For�t,(Death),1-12-1135,,49.4003,1.4769,France
405,1131,8,Sept,Northampton,,8-9-1131,SP7549060562,52.238083,-0.89592755,England
406,1131,25,Dec,Dunstable,,25-12-1131,TL0188821864,51.88603,-0.52102,England
407,1132,10,Apr,Woodstock,,10-4-1132,SP4400016000,51.840878,-1.362755,England
408,1132,29,Apr,London,,29-4-1132,TQ3248081340,51.515457,-0.092140265,England
409,1132,25,Dec,Windsor,,25-12-1132,SU9683776912,51.482886,-0.60683638,England
410,1133,8,Feb,London,,8-2-1133,TQ3248081340,51.515457,-0.092140265,England
411,1133,26,Mar,Oxford,,26-3-1133,SP5130006100,51.751253,-1.2582674,England
412,1133,30,Apr,Winchester,,30-4-1133,SU4779329466,51.062549,-1.3193687,England
413,1133,1,May,Winchester,,1-5-1133,SU4779329466,51.062549,-1.3193687,England
414,1133,2,May,Winchester,,2-5-1133,SU4779329466,51.062549,-1.3193687,England
415,1133,3,May,Winchester,,3-5-1133,SU4779329466,51.062549,-1.3193687,England
416,1133,,July,Fareham,,7-1133,SU5782205929,50.85,-1.18,England
417,1133,,July,Westbourne,,7-1133,SZ0729791046,50.719,-1.898,England
419,1134,,Sep,Verneuil,,9-1134,,48.7394,0.9286,France
420,1134,,Aug-Oct,S�es,,Aug-Oct-1134,,48.6053,0.1719,France
421,1134,,,Alen�on,,1134,,48.4306,0.0931,France
422,1134,,,Argentan,,1134,,48.75,-0.02,France
423,1135,25,Nov,Lyons-la-For�t,,25-11-1135,,49.4003,1.4769,France
424,1135,26,Nov,Lyons-la-For�t,,26-11-1135,,49.4003,1.4769,France
425,1135,27,Nov,Lyons-la-For�t,,27-11-1135,,49.4003,1.4769,France
426,1135,28,Nov,Lyons-la-For�t,,28-11-1135,,49.4003,1.4769,France
427,1135,29,Nov,Lyons-la-For�t,,29-11-1135,,49.4003,1.4769,France
428,1135,30,Nov,Lyons-la-For�t,,30-11-1135,,49.4003,1.4769,France
429,1135,1,Dec,Lyons-la-For�t,(Death),1-12-1135,,49.4003,1.4769,France
