id,year,day,month,location,comments,date,OSGridRef,latitude,longitude,Nation
77,1106,15,Aug,Bec,,15-8-1106,,49.2288,0.722,France
78,1106,,Aug�Sept,Saint-Pierre-sur-Dives,,1106,,49.02,-0.03,France
79,1106,28,Sept,Tinchebrai,,28-9-1106,SU1428229527,51.064903,-1.7975624,England
80,1106,,Oct,Falaise,,1106,,48.897222,-0.1975,France
81,1106,,Oct,Rouen,,1106,,49.442778,1.088611,France
82,1106,c 15 Oct,,Lisieux,,c 15 Oct 1106,,49.15,0.23,France
83,1106,7,Nov,Rouen,,7-11-1106,,49.442778,1.088611,France
84,1106,30,Nov,Rouen,,30-11-1106,,49.442778,1.088611,France
85,1107,,Jan,Falaise,,1-1107,,48.897222,-0.1975,France
86,1107,,Mar,Lisieux,,3-1107,,49.15,0.23,France
88,1107,14,Apr,Windsor,,14-4-1107,SU9683776912,51.482886,-0.60683638,England
89,1107,2,June,Westminster,,2-6-1107,TQ3016079670,51.500988,-0.12617168,England
90,1107,1,Aug,London,,1-8-1107,TQ3248081340,51.515457,-0.092140265,England
91,1107,25,Dec,Westminster,,25-12-1107,TQ3016079670,51.500988,-0.12617168,England
92,1108,5,Apr,Winchester,,5-4-1108,SU4779329466,51.062549,-1.3193687,England
93,1108,24,May,London,,24-5-1108,TQ3248081340,51.515457,-0.092140265,England
94,1108,,July,Portsmouth,near Portsmouth (crossing to France),7-1108,SU6441401094,50.805833,-1.087222,England
95,1108,25,Dec,Normandy,,25-12-1108,,48.88,0.17,France
96,1109,,Mar,Gisors,,3-1109,,49.2811,1.7772,France
97,1109,,Mar,Neautfles,,3-1109,,49.2781,1.7239,France
98,1109,25,Apr,Normandy,,25-4-1109,,48.88,0.17,France
100,1109,13,June,Westminster,,13-6-1109,TQ3016079670,51.500988,-0.12617168,England
101,1109,17,Oct,Nottingham,,17-10-1109,SK5700040000,52.954357,-1.1530111,England
102,1109,25,Dec,Westminster,,25-12-1109,TQ3016079670,51.500988,-0.12617168,England
103,1110,10,Apr,Marlborough,,10-4-1110,SU1887169033,51.42,-1.73,England
104,1110,17,May,Dover,,17-5-1110,TR3161341898,51.1295,1.3089,England
105,1110,29,May,New Windsor,,29-5-1110,SU9666076488,51.4791,-0.6095,England
106,1110,5,July,Stamford,,5-7-1110,TF0282607016,52.651142,-0.48146188,England
110,1111,8,Aug,Bishop's Waltham,,8-8-1111,SU5546017425,50.9536,-1.2118,England
112,1111,13,Aug,Portsmouth,,13-8-1111,SU6441401094,50.805833,-1.087222,England
113,1112,4,Nov,Bonneville-sur-Touques,,4-11-1112,,49.3389,0.1206,France
114,1113,2,Feb,Saint-Evroult-en-Ouche,,2-2-1113,,48.790556,0.463889,France
115,1113,3,Feb,Saint-Evroult-en-Ouche,,3-2-1113,,48.790556,0.463889,France
123,1113,1,May,Bell�me,,1-5-1113,,48.3772,0.5614,France
124,1113,2,May,Bell�me,,2-5-1113,,48.3772,0.5614,France
125,1113,3,May,Bell�me,,3-5-1113,,48.3772,0.5614,France
126,1113,25,May,Normandy,,25-5-1113,,48.88,0.17,France
128,1113,25,Dec,Windsor,,25-12-1113,SU9683776912,51.482886,-0.60683638,England
130,1114,26,Apr,Windsor,(Council),26-4-1114,SU9683776912,51.482886,-0.60683638,England
132,1114,15,Aug,Winchester,,15-8-1114,SU4779329466,51.062549,-1.3193687,England
133,1114,13,Sept,Westbourne,,13-9-1114,SZ0729791046,50.719,-1.898,England
134,1114,15,Sept,Westbourne,,15-9-1114,SZ0729791046,50.719,-1.898,England
135,1114,21,Sept,Rowner,,21-9-1114,SU5813802819,50.822,-1.176,England
136,1114,21,Sept,Portsmouth,Portsmouth (crossing to Normandy),21-9-1114,SU6441401094,50.805833,-1.087222,England
137,1114,25,Dec,Normandy,,25-12-1114,,48.88,0.17,France
139,1115,16,Sept,Westminster,,16-9-1115,TQ3016079670,51.500988,-0.12617168,England
140,1115,17,Sept,Westminster,,17-9-1115,TQ3016079670,51.500988,-0.12617168,England
141,1115,18,Sept,Westminster,,18-9-1115,TQ3016079670,51.500988,-0.12617168,England
142,1115,19,Sept,Westminster,,19-9-1115,TQ3016079670,51.500988,-0.12617168,England
143,1115,25,Nov,St Albans,Appears as 25-8 Dec,25-11-1115,TL1480007300,51.752638,-0.33830962,England
144,1115,26,Nov,St Albans,Appears as 25-8 Dec,26-11-1115,TL1480007300,51.752638,-0.33830962,England
145,1115,27,Nov,St Albans,Appears as 25-8 Dec,27-11-1115,TL1480007300,51.752638,-0.33830962,England
146,1115,28,Nov,St Albans,Appears as 25-8 Dec,28-11-1115,TL1480007300,51.752638,-0.33830962,England
147,1115,29,Nov,St Albans,Appears as 25-8 Dec,29-11-1115,TL1480007300,51.752638,-0.33830962,England
148,1115,30,Nov,St Albans,Appears as 25-8 Dec,30-11-1115,TL1480007300,51.752638,-0.33830962,England
149,1115,1,Dec,St Albans,Appears as 25-8 Dec,1-12-1115,TL1480007300,51.752638,-0.33830962,England
150,1115,2,Dec,St Albans,Appears as 25-8 Dec,2-12-1115,TL1480007300,51.752638,-0.33830962,England
151,1115,3,Dec,St Albans,Appears as 25-8 Dec,3-12-1115,TL1480007300,51.752638,-0.33830962,England
152,1115,4,Dec,St Albans,Appears as 25-8 Dec,4-12-1115,TL1480007300,51.752638,-0.33830962,England
153,1115,5,Dec,St Albans,Appears as 25-8 Dec,5-12-1115,TL1480007300,51.752638,-0.33830962,England
154,1115,6,Dec,St Albans,Appears as 25-8 Dec,6-12-1115,TL1480007300,51.752638,-0.33830962,England
155,1115,7,Dec,St Albans,Appears as 25-8 Dec,7-12-1115,TL1480007300,51.752638,-0.33830962,England
